,0,1
386,-5.023262,1.991621
387,-4.968768,2.0183487
388,-4.9138293,2.0460956
389,-4.911291,2.045807
390,-4.912231,2.0459313
391,-4.918031,2.3554091
392,-5.048087,1.7909687
393,-4.9824076,2.010108
394,-4.9810243,2.0082686
395,-5.239622,1.9725205
396,-4.9138293,2.0460956
397,-4.9768047,1.9913416
398,-4.984483,2.0117383
399,-5.001189,1.876221
400,-4.8851485,2.0640404
401,-4.938508,1.9583764
402,-4.9634333,2.0438726
403,-5.1087365,2.0046203
404,-4.9138293,2.0460956
405,-5.031784,1.9880658
406,-4.8889995,2.073288
407,-5.094797,1.9101635
408,-4.9634333,2.0438726
409,-5.1087365,2.0046203
410,-4.9138293,2.0460956
411,-5.031784,1.9880658
412,-4.8889995,2.073288
413,-5.0945873,1.8618736
414,-4.968835,2.018533
415,-5.055324,2.0718107
416,-4.968835,2.018533
417,-4.9634333,2.0438726
418,-4.968835,2.018533
419,-5.0408907,1.8402272
420,-5.221163,1.9856976
421,-5.200695,1.9914157
422,-5.1228247,1.9682798
423,-4.968835,2.018533
424,-5.1890273,1.7205503
425,-5.1000843,1.6959893
426,-5.200657,1.729152
427,-4.960964,1.9977642
428,-4.97734,1.922279
429,-4.956317,1.9857898
430,-4.968835,2.018533
431,-5.21177,1.6257391
432,-5.21233,1.6248614
433,-5.1238384,1.7740438
434,-4.8865323,2.06588
435,-5.200889,1.9927466
436,-5.0402436,1.8464445
437,-5.044732,1.8454899
438,-4.94864,1.9876212
439,-4.968835,2.018533
440,-5.0656214,1.8396361
441,-5.094695,2.2560732
442,-5.073255,1.8160017
443,-4.884147,2.0653684
444,-4.968835,2.018533
445,-5.1071234,1.9121331
446,-4.954878,1.9198031
447,-4.9902534,2.010731
448,-5.1237082,1.8210868
449,-5.1237082,1.8210868
450,-4.9648004,2.0078175
451,-4.985905,2.019474
452,-4.966533,2.0123963
453,-4.8607316,2.1141684
454,-4.9655147,2.0157197
455,-4.93605,2.0355432
456,-5.1269603,1.7442526
457,-4.968768,2.0183487
458,-4.8874226,2.056835
459,-4.8892565,2.0540445
460,-4.888559,2.055154
461,-5.2816477,2.1388268
462,-5.048087,1.7909687
463,-5.0083222,1.9953995
464,-5.004879,1.9985363
465,-5.391908,1.9527694
466,-4.8874226,2.056835
467,-4.9778695,1.9872268
468,-5.0251837,1.9916945
469,-5.136784,2.0241797
470,-4.898295,2.048525
471,-4.961337,1.9098365
472,-4.9553885,2.072985
473,-5.25132,1.9870354
474,-4.8874226,2.056835
475,-5.0900645,1.9505458
476,-4.8486643,2.0754554
477,-5.076255,1.849751
478,-4.9553885,2.072985
479,-5.25132,1.9870354
480,-4.8874226,2.056835
481,-5.0900645,1.9505458
482,-4.8486643,2.0754554
483,-5.0902534,1.9400235
484,-4.968835,2.018533
485,-5.142124,2.1250794
486,-4.968835,2.018533
487,-4.9553885,2.072985
488,-4.968835,2.018533
489,-5.0457573,1.8281666
490,-5.3722043,1.9828483
491,-5.339464,1.9937731
492,-5.3005204,2.172987
493,-4.968835,2.018533
494,-5.4826736,1.2596822
495,-4.922638,1.6298646
496,-5.5317206,1.245624
497,-4.960964,1.9977642
498,-4.962327,1.8763955
499,-4.956317,1.9857898
500,-4.968835,2.018533
501,-5.459289,1.08651
502,-5.482852,1.0495219
503,-5.262339,1.329582
504,-4.9241757,1.9959569
505,-5.3399224,1.9951184
506,-5.0399475,1.844643
507,-5.041096,1.8349689
508,-4.9117,1.981361
509,-4.968835,2.018533
